title,authors,model name,year,model class,left-truncated,interval-censored,recurrent events,CR,MSM,deviations from PH assumption: TVE,deviations from PH assumption: TVF,parametrization,multiple losses,multi-task learning,NN architecture,active learning,semi-supervised,interpretability,multi-modal,simulation,high-dimensional,code available,code (if available),data specifics,PASS,comments
Individual Survival Curves with Conditional Normalizing Flows,"Ausset, Guillaume and Ciffreo, Tom and Portier, Francois and Cl{\'e}men{\c{c}}on, Stephan and Papin, Timoth{\'e}e",Aus2021,2021,transformation and normalizing flow-based,no,no,no,no,no,no,no,parameters of generalized AFT model,yes,???,normalizing flows,no,no,no,no,yes,no,yes,https://git.sr.ht/~aussetg/nfsurvival,"METABRIC, RGBSG, SUPPORT, WHAS",PASS,"model class: Also sie optimieren auf jeden Fall die likelihood Eq. (3) und approximieren f(t|x) und S(t|x) über ein transformationsmodell via normalizing flows. bzw. in der definition vom loss nehmen sie dann den log davon
losses: seems like multiple losses, L_u and L_c; but apparently only as regularization term in order to approximate the real distribution properly"
CapSurv: Capsule Network for Survival Analysis With Whole Slide Pathological Images,"Tang, B; Li, A; Li, B; Wang, MH",CapSurv,2019,Cox-based,no,no,no,no,no,no,no,hazard rate,yes,???,CapsNet,no,no,no,yes,no,no,no,,TCGA,PASS,"Cox loss + margin loss + reconstruction loss
hazard rate parametrization via Cox loss, maybe sth else?
(images only, no inclusion of clinical/tabular data!)
implementation (unofficial, not by authors): https://github.com/Tombaugh/CapSurv"
A convolutional neural network model for survival prediction based on prognosis-related cascaded Wx feature selection,"Yin, QY; Chen, WW; Zhang, CX; Wei, Z",CNN-Cox,2022,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,CNN,no,no,no,no,no,yes,yes,https://github.com/wangwangCCChen/CNN-Cox,TCGA,PASS,
CNN-based survival model for pancreatic ductal adenocarcinoma in medical imaging,"Zhang, YC; Lobo-Mueller, EM; Karanicolas, P; Gallinger, S; Haider, MA; Khalvati, F",CNN-Survival,2020,discrete-time,no,no,no,no,no,no,no,discrete hazard,no,no,CNN,no,no,no,yes,no,yes,no,,Lung1 (TCIA),PASS,"(negative log likelihood loss)
(images only, no inclusion of clinical/tabular data!)"
Survival Analysis with High-Dimensional Omics Data Using a Threshold Gradient Descent Regularization-Based Neural Network Approach,"Fan, Y; Zhang, SG; Ma, SG",CNT,2022,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,FFNN,no,no,no,no,yes,yes,yes,https://github.com/shuanggema/CNTsurv,"HGSOC, TCGA",PASS,
Deep learning based feature-level integration of multi-omics data for breast cancer patients survival analysis,"Tong, L; Mitchel, J; Chatlin, K; Wang, MD",ConcatAE/CrossAE,2020,Cox-based,no,no,no,no,no,no,no,hazard rate,yes,???,AE,no,no,no,yes,no,yes,yes,https://github.com/tongli1210/BreastCancerSurvivalIntegration,TCGA,PASS,
Cox-nnet: An artificial neural network method for prognosis prediction of high-throughput omics data,"Ching, Travers and Zhu, Xun and Garmire, Lana X",Cox-nnet,2018,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,FFNN,no,no,yes (discovery of biological features; top nodes correlated with enriched KEGG pathways),no,yes,yes,yes,https://github.com/lanagarmire/cox-nnet,TCGA,PASS,
Cox-PASNet: Pathway-based Sparse Deep Neural Network for Survival Analysis,"Hao, J; Kim, Y; Mallavarapu, T; Oh, JH; Kang, M",Cox-PASNet,2018,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,FFNN (not explicitly mentioned),no,no,yes (nodes corresponding to biological components),no,no,yes,yes,https://github.com/DataX-JieHao/Cox-PASNet,TCGA,PASS,
Time-to-Event Prediction with Neural Networks and Cox Regression,"Kvamme, H{\aa}vard and Borgan, {\O}rnulf and Scheel, Ida",Cox-Time,2019,Cox-based,no,no,no,no,no,yes,no,hazard rate,no,,FFNN,no,no,no,no,yes,no,yes,https://github.com/havakv/pycox; https://github.com/RaphaelS1/survivalmodels,"FLCHAIN, KKBox churn, METABRIC, RGBSG, SUPPORT",PASS,
"CRESA: A Deep Learning Approach to Competing Risks, Recurrent Event Survival Analysis","Gupta, G; Sunder, V; Prasad, R; Shroff, G",CRESA,2019,discrete-time,no,no,yes,yes,no,no,yes,discrete hazard,yes,???,RNN (LSTM),no,no,no,no,no,no,no,,MIMIC III,PASS,RCIF-based loss function
DAFT: A universal module to interweave tabular data and 3D images in CNNs,"Wolf, TN; Polsterl, S; Wachinger, C",DAFT,2022,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,CNN (ResNet) + DAFT,no,no,no,yes,no,no,yes,https://github.com/ai-med/DAFT,"ADNI, AIBL",PASS,
A Deep Active Survival Analysis approach for precision treatment recommendations: Application of prostate cancer,"Nezhad, Milad Zafar and Sadati, Najibesadat and Yang, Kai and Zhu, Dongxiao",DASA,2019,only framework,no,no,no,no,no,no,no,not applicable,n.a.,n.a.,only framework,yes,yes but (considers censoring as unsupervised),no,no,no,no,no,,SEER,PASS,
Adversarial Time-to-Event Modeling,"Chapfuwa, Paidamoyo and Tao, Chenyang and Li, Chunyuan and Page, Courtney and Goldstein, Benjamin and Duke, Lawrence Carin and Henao, Ricardo",DATE,2018,GAN-based,no,no,no,no,no,no,no,GANs with custom loss to estimate a distribution from which event times can be drawn.,yes,??? (no),GAN,no,no,no,no,no,no,yes,https://github.com/paidamoyo/adversarial_time_to_event,"EHR, FLCHAIN, SEER, SUPPORT",PASS,
Deep Cox Mixtures for Survival Regression,"Nagpal, Chirag and Yadlowsky, Steve and Rostamzadeh, Negar and Heller, Katherine",DCM,2021,Cox-based,no,no,no,no,no,no,no,hazard rate,yes,???,VAE,no,no,no,no,no,no,yes,https://github.com/chiragnagpal/deep_cox_mixtures; https://autonlab.org/auton-survival,"FLCHAIN, SEER, SUPPORT",PASS,(extended + modified)
Deep Learning-Based Discrete Calibrated Survival Prediction,"Fuhlert, P; Ernst, A; Dietrich, E; Westhaeusser, F; Kloiber, K; Bonn, S",DCS,2022,discrete-time,no,no,no,no,no,no,no,discrete hazard,yes,no,RNN (LSTM),no,no,no,no,yes,no,yes,https://github.com/imsb-uke/dcsurv,"FLCHAIN, METABRIC, SUPPORT",PASS,"parametrization not explicitly stated; ""discrete hazard"" b/c of reference of Nnet-survival"
DeepComp: Which Competing Event Will Hit the Patient First?,"Li, YX; Jia, WX; Kang, YS; Chen, LG; Li, X; Du, X; Dong, JZ; Ma, CS; Wang, F; Xie, GT",DeepComp,2020,discrete-time,no  ,no   ,no,yes,no,no,no,discrete hazard,yes,yes,RNN,no,no,no,no,no,no,no,,"CAFR, SEER",PASS,log-likelihood based loss for uncensored + censored; novel competing penalty
DeepCompete : A deep learning approach to competing risks in continuous time domain,"Aastha and Huang, Pengyu and Liu, Yan",DeepCompete,2021,ODE-based,no,no,no,yes,no,no,no,hazard rate,no,??? yes,N-ODE,no,no,no,no,no,no,no,,"AML, DBCD, DLBCL, NSBCD, SEER",PASS,NOT discrete-time; NLL-based loss (w/ hazards computed by N-ODEs)
Deep convolutional neural network for survival analysis with pathological images,"Zhu, XL; Yao, JW; Huang, JZ",DeepConvSurv,2016,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,CNN,no,no,no,yes,no,no,no,,NLST,PASS,"cluster-level extension: WSISA
(modified Cox loss)"
