title,paper,authors,year,model name,model class,parametrization,multiple losses,multi-task learning,architecture,left-truncation,interval-censoring,CR,MSM,RE,TVF,TVE,high dimensionality,multimodality,interpretability,code,datasets,min dataset size,simulation,active learning,semi-supervised learning,PASS,comments,scribbles,,,,,,,,
Deep learning based feature-level integration of multi-omics data for breast cancer patients survival analysis,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-020-01225-8,L. Tong et al.,2020,ConcatAE/CrossAE,Cox-based,hazard rate,yes,???,AE,no,no,no,no,no,no,no,yes,yes,no,https://github.com/tongli1210/BreastCancerSurvivalIntegration,TCGA (BRCA),1060,no,no,no,PASS,,,,,,,,,,
CapSurv: Capsule Network for Survival Analysis With Whole Slide Pathological Images,https://ieeexplore.ieee.org/document/8651474,B. Tang et al.,2019,CapSurv,Cox-based,hazard rate,yes,???,CapsNet,no,no,no,no,no,no,no,no,yes,no,no,"TCGA (GBM, LUSC)",98 (LUSC),no,no,no,PASS,,"Cox loss + margin loss + reconstruction loss
hazard rate parametrization via Cox loss, maybe sth else?
(images only, no inclusion of clinical/tabular data!)
implementation (unofficial, not by authors): https://github.com/Tombaugh/CapSurv",,,,,,,,
A convolutional neural network model for survival prediction based on prognosis-related cascaded Wx feature selection,https://www.nature.com/articles/s41374-022-00801-y,Q. Yin et al.,2022,CNN-Cox,Cox-based,hazard rate,no,no,CNN,no,no,no,no,no,no,no,yes,no,no,https://github.com/wangwangCCChen/CNN-Cox,TCGA (pan-cancer datasets),10535,no,no,no,PASS,,,,,,,,,,
CNN-based survival model for pancreatic ductal adenocarcinoma in medical imaging,https://bmcmedimaging.biomedcentral.com/articles/10.1186/s12880-020-0418-1,Y. Zhang et al.,2020,CNN-Survival,discrete-time,discrete hazard,no,no,CNN,no,no,no,no,no,no,no,yes,yes,no,no,Lung1 (TCIA),520,no,no,no,PASS,,"(negative log likelihood loss)
(images only, no inclusion of clinical/tabular data!)",,,,,,,,
Deep convolutional neural network for survival analysis with pathological images,https://ieeexplore.ieee.org/document/7822579,X. Zhu et al.,2016,DeepConvSurv,Cox-based,hazard rate,no,,CNN,no,no,no,no,no,no,no,no,yes,no,no,NLST,404,no,no,no,PASS,,"cluster-level extension: WSISA
(modified Cox loss)",,,,,,,,
Deep learning for survival analysis in breast cancer with whole slide image data,https://doi.org/10.1093/bioinformatics/btac381,H. Liu and T. Kurc,2022,Liu2022,discrete-time,discrete hazard,no,,CNN,no,no,no,no,no,no,no,no,yes,no,https://github.com/SBU-BMI/deep_survival_analysis,TCGA (BRCA),978,no,no,no,NO PASS,,"same architecture as in Wulczyn et al. 2020
MobileNet V2",,,,,,,,
PAGE-Net: Interpretable and Integrative Deep Learning for Survival Analysis Using Histopathological Images and Genomic Data,https://doi.org/10.1142/9789811215636_0032,Hao et al.,2020,PAGE-Net,Cox-based,hazard rate,no,,CNN,no,no,no,no,no,no,no,yes,yes,biological interpretation of architecture,https://github.com/DataX-JieHao/PAGE-Net,"TCGA, TCIA (GBM gene expression data)",447 (combined),no,no,no,PASS,,,,,,,,,,
SurvCNN: A Discrete Time-to-Event Cancer Survival Estimation Framework Using Image Representations of Omics Data,https://www.mdpi.com/2072-6694/13/13/3106,Y. Kalakoti et al.,2021,SurvCNN,discrete-time,discrete hazard,no,no,CNN,no,no,no,no,no,no,no,yes,no,no,https://github.com/TeamSundar/SurvCNN,TCGA,446,no,no,no,PASS,,"(negative log likelihood loss)
creating image representation of omics data, additionally to clinical data -> no multimodality",,,,,,,,
Deep learning-based survival prediction for multiple cancer types using histopathology images,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0233678,E. Wulczyn et al.,2020,Wul2020,discrete-time,discrete hazard,no,,CNN,no,no,no,no,no,no,no,no,yes,no,no,"TCGA (BLCA, BRCA, COAD, HNSC, KIRC, LIHC, LUAD, OV, STAD)
",333 (LIHC),no,no,no,NO PASS,,,,,,,,,,
Mixture cure rate models with neural network estimated nonparametric components,https://link.springer.com/article/10.1007/s00180-021-01086-3,Y. Xie and Z. Yu,2021,Xie2021,Cox-based,hazard rate,no,no,CNN,no,no,no,no,no,no,no,no,yes,classical,no,OASIS-3,352,yes,no,no,PASS,,"cure rate model where a NN is ""mereley"" used to estimate the cure probability; survival prediction itself (given non-cured) is performed by a standard Cox PH model; model optimization via EM",,,,,,,,
Image-Based Survival Prediction for Lung Cancer Patients Using CNNS,https://ieeexplore.ieee.org/document/8759499,C. Haarburger et al.,2019,Haa2019,Cox-based,hazard rate,no,no,CNN,no,no,no,no,no,no,no,yes,yes,no,no,Lung1 (TCIA),232,no,no,no,PASS,,"2 approaches: 1) direct hazard prediction; 2) only CNN-based feature extraction (working better); in this sheet, focus on approach 1) b/c approach 2) fails exclusion criteria
Cox-loss for Cox hazard prediction; for median survival classification: binary cross-entropy loss (classification based on whether t > T_{0.5})
radiomics",,,,,,,,
Deep Integrative Analysis for Survival Prediction,https://doi.org/10.1142/9789813235533_0032,C. Huang et al.,2018,Hua2018,scoring rules (smoothed C-index loss),???,no,no,CNN + correlational layer,no,no,no,no,no,no,no,no,yes,no,no,"TCGA (GBM, LUSC)",106 (LUSC),no,no,no,PASS,,They use a smoothed version of C-index (Eq. (6)) as loss function. Der Output des NN (vektor O) wird direkt in den Loss eingesetzt als Größe die das Risiko einer Person repräsentiert.,,,,,,,,
DAFT: A universal module to interweave tabular data and 3D images in CNNs,https://www.sciencedirect.com/science/article/pii/S1053811922006218,T. Wolf et al.,2022,DAFT,Cox-based,hazard rate,no,no,CNN + DAFT,no,no,no,no,no,no,no,no,yes,no,https://github.com/ai-med/DAFT,"ADNI, AIBL",2749 (combined),no,no,no,PASS,,CNN: ResNet,,,,,,,,
Extreme learning machine Cox model for high-dimensionalsurvival analysis,https://doi.org/10.1002/sim.8090,H. Wang et al.,2019,ELMCoxBAR,Cox-based,hazard rate,no,no,ELM,no,no,no,no,no,no,no,no,no,no,https://github.com/whcsu/ELMCoxBAR,"DrAsGiven, EMTAB386, GSE14764, GSE32062, GSE49997, LungBeer, METABRIC, NSBCD, TCGAmirna",,yes,no,no,PASS,,,,,,,,,,
Survival Analysis with High-Dimensional Omics Data Using a Threshold Gradient Descent Regularization-Based Neural Network Approach,https://www.mdpi.com/2073-4425/13/9/1674,Y. Fanet al.,2022,CNT,Cox-based,hazard rate,no,no,FFNN,no,no,no,no,no,no,no,yes,no,no,https://github.com/shuanggema/CNTsurv,"HGSOC, TCGA",1093 (TCGA),yes,no,no,PASS,,,,,,,,,,
Cox-nnet: An artificial neural network method for prognosis prediction of high-throughput omics data,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006076,T. Ching et al.,2018,Cox-nnet,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,no,yes,no,biological interpretation of architecture,https://github.com/lanagarmire/cox-nnet,TCGA (pan-cancer datasets),5031,yes,no,no,PASS,,,,,,,,,,
Cox-PASNet: Pathway-based Sparse Deep Neural Network for Survival Analysis,https://ieeexplore.ieee.org/document/8621345,J. Hao et al.,2018,Cox-PASNet,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,no,yes,no,biological interpretation of architecture,https://github.com/DataX-JieHao/Cox-PASNet,"TCGA (GBM, OV)",522 (GBM),no,no,no,PASS,,,,,,,,,,
Time-to-Event Prediction with Neural Networks and Cox Regression,https://www.jmlr.org/papers/volume20/18-424/18-424.pdf?ref=https://githubhelp.com,H. Kvamme et al.,2019,Cox-Time,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,yes,no,no,no,"https://github.com/havakv/pycox, https://github.com/RaphaelS1/survivalmodels","FLCHAIN, KKBox churn, METABRIC, RGBSG, SUPPORT",1904 (METABRIC),yes,no,no,PASS,,,,,,,,,,
DeepOmix: A scalable and interpretable multi-omics deep learning framework and application in cancer survival analysis,https://www.sciencedirect.com/science/article/pii/S2001037021001793,L. Zhao et al.,2021,DeepOmix,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,no,yes,no,biological interpretation of architecture,https://github.com/CancerProfiling/DeepOmix,"TCGA (BLCA, BRCA, HNSC, KIRC, LGG, LUAD, OV, STAD)
",241 (KIRC),no,no,no,PASS,,,,,,,,,,
DeepSurv: personalized treatment recommender system using a Cox proportional hazards deep neural network,https://bmcmedresmethodol.biomedcentral.com/articles/10.1186/s12874-018-0482-1,J. Katzman et al.,2018,DeepSurv,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,no,no,no,no,"https://github.com/jaredleekatzman/DeepSurv, https://github.com/havakv/pycox, https://github.com/RaphaelS1/survivalmodels, https://autonlab.org/auton-survival, https://square.github.io/pysurvival","METABRIC, RGBSG, SUPPORT, WHAS",1638 (WHAS),yes,no,no,PASS,,,,,,,,,,
Estimation of Conditional Mixture Weibull Distribution with Right Censored Data Using Neural Network for Time-to-Event Analysis,https://link.springer.com/chapter/10.1007/978-3-030-47426-3_53,A. Bennis et al.,2017,DeepWeiSurv,parametric,parameters of (mixture of) Weibull distribution(s),no,yes,FFNN,no,no,no,no,no,no,no,no,no,no,no,"METABRIC, SEER breast cancer dataset",1981 (METABRIC),no,no,no,PASS,,"loss based on log-likelihood of mixture of Weibull distributions
one loss for events, one for censored observations, added together (not multiple distinct losses)",,,,,,,,
Genome-wide association study-based deep learning for survival prediction,https://doi.org/10.1002/sim.8743,T. Sun,2020,DNNSurv_Sun2020,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,no,yes,no,LIME,https://github.com/yingding99/DNNSurv,AREDS,7803,yes,no,no,PASS,,high dimensionality of AMD GWAS data,,,,,,,,
DNNSurv: Deep Neural Networks for Survival Analysis Using Pseudo Values,https://arxiv.org/abs/1908.02337,L. Zhao et al.,2019,DNNSurv_Zha2019,discrete-time,,no,,FFNN,no,no,no,no,no,no,no,no,no,no,"https://github.com/lilizhaoUM/DNNSurv, https://github.com/RaphaelS1/survivalmodels","CHS, MESA",5380 (CHS),yes,no,no,PASS,,"discrete- or interval-based computation of pseudo cond. prob., then SSE loss for regression task w/ DL
Survival based on Pseudo values ist aber auch nochmal eine eigene semi-etablierte Methode im Survival Kontext
pseudeo values = difference between S(t) and S(t) estimated without i-th subject. Then this is considered outcome for standard regression analysis. This is done for each subject for multiple time-points (regular grid). Discrte time wird hier insofern verwendet, um die pseudeo values zu berechnen. Konkrete Parametrisierung des Pseudo-value models wird nicht wirkl. beschrieben.",,,,,,,,
Group Lasso Regularized Deep Learning for Cancer Prognosis from Multi-Omics and Clinical Features,https://www.mdpi.com/2073-4425/10/3/240,G. Xie et al.,2019,GDP,Cox-based,hazard rate,no,no,FFNN,no,no,no,no,no,no,no,yes,no,no,https://github.com/WGLab/GDP,"TCGA (BLCA, ESCA, GBM, HNSC, KIRC, LAML, LIHC, LUAD, LUSC, OV, PAAD, SARC, SKCM, STAD)",270 (LAML),yes,no,no,PASS,,,,,,,,,,
IDNetwork: A deep Illness-Death Network based on multi-state event history process for versatile disease prognostication,https://doi.org/10.1002/sim.9310,A. Cottin et al.,2022,IDNetwork,PEM-based,,no,??? (no; though multiple output layers),FFNN,no,no,yes,yes,no,no,no,no,no,no,no,"METABRIC, NCT00079274, NCT00275210",1122 (NCT00275210),yes,no,no,PASS,,"Also sie nehmen auf jeden Fall PC hazards an und zitieren die PEM literatur. Machen dann am Ende aber doch ncht wirkl. hazard modellierung.
 Es gibt noch ein Statistics in Medicine Paper von denen. Das ist vermutlich notationell sauberer: https://onlinelibrary.wiley.com/doi/full/10.1002/sim.9310?casa_token=NLWvTpO-oUUAAAAA%3AoRPdzpRSgoBs9LLtNn5
Ok, da sagen sie explizit, ""Instead of considering the transition intensities, we will write the log-likelihood in terms of transition probabilities f ∗ ql (.|X ),"" also diese ""Pseudo-Dichten"" im CR case und das integral davon die CIF Die schreiben die Likelihood dann in Abh. von den pseudo-dichten und nutzen diese Likelihood als Loss; pseudo-density = h_e(t) * S(t)
Output sind dann die stückweise konstanten Pseudo-Dichten
parametrization not explicitly stated",,,,,,,,
A Multi-constraint Deep Semi-supervised Learning Method for Ovarian Cancer Prognosis Prediction,https://link.springer.com/chapter/10.1007/978-3-031-09726-3_20,H. Chai et al.,2022,MCAP,Cox-based,hazard rate,yes,yes,FFNN,no,no,no,no,no,no,no,yes,no,no,no,"GSE17260, GSE26193, GSE26712, GSE32062, GSE53963, GSE63885, TCGA-OV",141 (GSE63885),no,no,semi-supervised,PASS,,,,,,,,,,
Deep Neural Networks for Survival Analysis Based on a Multi-Task Framework,https://arxiv.org/abs/1801.05512,S. Fotso,2018,N-MTLR,discrete-time,discrete hazard,not described,yes,FFNN,no,no,no,no,no,no,no,no,no,no,https://square.github.io/pysurvival,"veteran, WHAS",137 (veteran),yes,no,no,PASS,,"discretization + classification (+ intelligentes kombinieren der prediktierten Wskten)
Loss kann dann im Endeffekt iwas sein, was für binary outcome geignet ist.
(logistic regression based)
no repo link in paper, but implemented in pySurvival Python package (not linked in paper)
check implementation for loss function",,,,,,,,
Deep survival algorithm based on nuclear norm,https://www.tandfonline.com/doi/abs/10.1080/00949655.2021.2015770,J. Tong and X. Zhao,2022,NN-DeepSurv,Cox-based,hazard rate,no,no,FFNN,no,no,no,no,no,no,no,no,no,no,no,"METABRIC, MIMIC III, MLC, RGBSG, SUPPORT, WHAS",228 (MLC),yes,no,no,PASS,,NN architecture is not explicitly stated; presumably FFNN since based on DeepSurv,,,,,,,,
